status,running-time,converged,first-run,variant-type,run-number,jvm-invocation,benchmark,label,machine
Steady-state,3604,true,false,ortho,4,0,avrora,2->arraylist,m1
Startup,4187,false,true,ortho,0,1,avrora,2->arraylist,m1
Warmup,3727,false,false,ortho,1,1,avrora,2->arraylist,m1
Warmup,3600,false,false,ortho,2,1,avrora,2->arraylist,m1
Warmup,3617,false,false,ortho,3,1,avrora,2->arraylist,m1
Steady-state,3605,true,false,ortho,4,1,avrora,2->arraylist,m1
Startup,4245,false,true,ortho,0,2,avrora,2->arraylist,m1
Warmup,3794,false,false,ortho,1,2,avrora,2->arraylist,m1
Warmup,3649,false,false,ortho,2,2,avrora,2->arraylist,m1
Warmup,3678,false,false,ortho,3,2,avrora,2->arraylist,m1
Steady-state,3623,true,false,ortho,4,2,avrora,2->arraylist,m1
Startup,4203,false,true,ortho,0,3,avrora,2->arraylist,m1
Warmup,3776,false,false,ortho,1,3,avrora,2->arraylist,m1
Warmup,3658,false,false,ortho,2,3,avrora,2->arraylist,m1
Warmup,3677,false,false,ortho,3,3,avrora,2->arraylist,m1
Steady-state,3638,true,false,ortho,4,3,avrora,2->arraylist,m1
Startup,4202,false,true,ortho,0,4,avrora,2->arraylist,m1
Warmup,3706,false,false,ortho,1,4,avrora,2->arraylist,m1
Warmup,3620,false,false,ortho,2,4,avrora,2->arraylist,m1
Warmup,3628,false,false,ortho,3,4,avrora,2->arraylist,m1
Steady-state,3638,true,false,ortho,4,4,avrora,2->arraylist,m1
Startup,4240,false,true,ortho,0,5,avrora,2->arraylist,m1
Warmup,3782,false,false,ortho,1,5,avrora,2->arraylist,m1
Warmup,3659,false,false,ortho,2,5,avrora,2->arraylist,m1
Warmup,3636,false,false,ortho,3,5,avrora,2->arraylist,m1
Steady-state,3635,true,false,ortho,4,5,avrora,2->arraylist,m1
Startup,4183,false,true,ortho,0,6,avrora,2->arraylist,m1
Warmup,3717,false,false,ortho,1,6,avrora,2->arraylist,m1
Warmup,3641,false,false,ortho,2,6,avrora,2->arraylist,m1
Warmup,3635,false,false,ortho,3,6,avrora,2->arraylist,m1
Steady-state,3616,true,false,ortho,4,6,avrora,2->arraylist,m1
Startup,4271,false,true,ortho,0,7,avrora,2->arraylist,m1
Warmup,3766,false,false,ortho,1,7,avrora,2->arraylist,m1
Warmup,3665,false,false,ortho,2,7,avrora,2->arraylist,m1
Warmup,3663,false,false,ortho,3,7,avrora,2->arraylist,m1
Steady-state,3644,true,false,ortho,4,7,avrora,2->arraylist,m1
Startup,4202,false,true,ortho,0,8,avrora,2->arraylist,m1
Warmup,3755,false,false,ortho,1,8,avrora,2->arraylist,m1
Warmup,3658,false,false,ortho,2,8,avrora,2->arraylist,m1
Warmup,3662,false,false,ortho,3,8,avrora,2->arraylist,m1
Steady-state,3633,true,false,ortho,4,8,avrora,2->arraylist,m1
Startup,4207,false,true,ortho,0,9,avrora,2->arraylist,m1
Warmup,3714,false,false,ortho,1,9,avrora,2->arraylist,m1
Warmup,3626,false,false,ortho,2,9,avrora,2->arraylist,m1
Warmup,3648,false,false,ortho,3,9,avrora,2->arraylist,m1
Steady-state,3629,true,false,ortho,4,9,avrora,2->arraylist,m1
Startup,4247,false,true,ortho,0,10,avrora,2->arraylist,m1
Warmup,3766,false,false,ortho,1,10,avrora,2->arraylist,m1
Warmup,3677,false,false,ortho,2,10,avrora,2->arraylist,m1
Warmup,3660,false,false,ortho,3,10,avrora,2->arraylist,m1
Steady-state,3646,true,false,ortho,4,10,avrora,2->arraylist,m1
Startup,4217,false,true,ortho,0,11,avrora,2->arraylist,m1
Warmup,3740,false,false,ortho,1,11,avrora,2->arraylist,m1
Warmup,3701,false,false,ortho,2,11,avrora,2->arraylist,m1
Warmup,3669,false,false,ortho,3,11,avrora,2->arraylist,m1
Steady-state,3651,true,false,ortho,4,11,avrora,2->arraylist,m1
Startup,4240,false,true,ortho,0,12,avrora,2->arraylist,m1
Warmup,3757,false,false,ortho,1,12,avrora,2->arraylist,m1
Warmup,3650,false,false,ortho,2,12,avrora,2->arraylist,m1
Warmup,3673,false,false,ortho,3,12,avrora,2->arraylist,m1
Steady-state,3631,true,false,ortho,4,12,avrora,2->arraylist,m1
Startup,4207,false,true,ortho,0,13,avrora,2->arraylist,m1
Warmup,3704,false,false,ortho,1,13,avrora,2->arraylist,m1
Warmup,3662,false,false,ortho,2,13,avrora,2->arraylist,m1
Warmup,3667,false,false,ortho,3,13,avrora,2->arraylist,m1
Steady-state,3630,true,false,ortho,4,13,avrora,2->arraylist,m1
Startup,4231,false,true,ortho,0,14,avrora,2->arraylist,m1
Warmup,3697,false,false,ortho,1,14,avrora,2->arraylist,m1
