status,running-time,converged,first-run,variant-type,run-number,jvm-invocation,benchmark,label,machine
Warmup,1377,false,false,ortho,3,5,bloat,6->arraylist,m1
Warmup,1390,false,false,ortho,4,5,bloat,6->arraylist,m1
Steady-state,1366,true,false,ortho,5,5,bloat,6->arraylist,m1
Startup,2139,false,true,ortho,0,6,bloat,6->arraylist,m1
Warmup,1654,false,false,ortho,1,6,bloat,6->arraylist,m1
Warmup,1431,false,false,ortho,2,6,bloat,6->arraylist,m1
Warmup,1407,false,false,ortho,3,6,bloat,6->arraylist,m1
Warmup,1424,false,false,ortho,4,6,bloat,6->arraylist,m1
Steady-state,1388,true,false,ortho,5,6,bloat,6->arraylist,m1
Startup,2129,false,true,ortho,0,7,bloat,6->arraylist,m1
Warmup,1696,false,false,ortho,1,7,bloat,6->arraylist,m1
Warmup,1396,false,false,ortho,2,7,bloat,6->arraylist,m1
Warmup,1389,false,false,ortho,3,7,bloat,6->arraylist,m1
Warmup,1408,false,false,ortho,4,7,bloat,6->arraylist,m1
Steady-state,1364,true,false,ortho,5,7,bloat,6->arraylist,m1
Startup,2097,false,true,ortho,0,8,bloat,6->arraylist,m1
Warmup,1648,false,false,ortho,1,8,bloat,6->arraylist,m1
Warmup,1404,false,false,ortho,2,8,bloat,6->arraylist,m1
Warmup,1398,false,false,ortho,3,8,bloat,6->arraylist,m1
Warmup,1412,false,false,ortho,4,8,bloat,6->arraylist,m1
Steady-state,1385,true,false,ortho,5,8,bloat,6->arraylist,m1
Startup,2067,false,true,ortho,0,9,bloat,6->arraylist,m1
Warmup,1652,false,false,ortho,1,9,bloat,6->arraylist,m1
Warmup,1516,false,false,ortho,2,9,bloat,6->arraylist,m1
Warmup,1361,false,false,ortho,3,9,bloat,6->arraylist,m1
Warmup,1390,false,false,ortho,4,9,bloat,6->arraylist,m1
Warmup,1359,false,false,ortho,5,9,bloat,6->arraylist,m1
Steady-state,1349,true,false,ortho,6,9,bloat,6->arraylist,m1
Startup,2111,false,true,ortho,0,10,bloat,6->arraylist,m1
Warmup,1657,false,false,ortho,1,10,bloat,6->arraylist,m1
Warmup,1429,false,false,ortho,2,10,bloat,6->arraylist,m1
Warmup,1410,false,false,ortho,3,10,bloat,6->arraylist,m1
Warmup,1411,false,false,ortho,4,10,bloat,6->arraylist,m1
